Time,Cost
0.0,[11.2 12.2 13.7 14.9 16.1 16.9 18.3 19.2 20.5 21.3]
1.0,"[Decimal('39806828544') Decimal('50371887104') Decimal('71833747456')
 Decimal('91756691456') Decimal('119533469696') Decimal('137946464256')
 Decimal('160423739392') Decimal('177750409216') Decimal('193525186560')
 Decimal('202459054080')]"
