x,y,z
0.0,5.666666666666667,1665706666.666666666666666667
0.1,7.0,4423680000
0.2,7.0,5706874880
0.30000000000000004,8.0,11193548800
0.4,8.666666666666666,18946457600
0.5,9.333333333333334,24143462400
0.6000000000000001,9.666666666666666,28189655040
0.7000000000000001,11.333333333333334,40533579093.33333333333333333
0.8,11.333333333333334,49809107626.66666666666666667
0.9,12.0,62746787840
1.0,12.0,66605547520
1.1,12.0,70464307200
1.2000000000000002,12.333333333333334,74658611200
1.3,12.666666666666666,76671877120
1.4000000000000001,13.0,82879447040
1.5,13.333333333333334,92148858880
1.6,14.333333333333334,109806878720
1.7000000000000002,15.666666666666666,122921069226.6666666666666667
1.8,16.0,137796867413.3333333333333333
1.9000000000000001,16.666666666666668,153721241600
2.0,16.666666666666668,160851558400
2.1,18.0,177209344000
2.2,18.0,181655306240
2.3000000000000003,18.666666666666668,200431807146.6666666666666667
2.4000000000000004,19.0,204010946560
2.5,19.666666666666668,211169225386.6666666666666667
2.6,20.666666666666668,221906643626.6666666666666667
2.7,21.0,225485783040
2.8000000000000003,21.666666666666668,232644061866.6666666666666667
2.9000000000000004,22.666666666666668,243381480106.6666666666666667
