Time,Cost
0.0,[61. 64. 64. 64. 64. 64. 64. 64. 64. 64.]
1.0,"[Decimal('3219370046128128') Decimal('3377699720527872')
 Decimal('3377699720527872') Decimal('3377699720527872')
 Decimal('3377699720527872') Decimal('3377699720527872')
 Decimal('3377699720527872') Decimal('3377699720527872')
 Decimal('3377699720527872') Decimal('3377699720527872')]"
