snap_time,measurement
0.000000000000000000e+00,9.999999999999998890e-01
2.000000000000000111e-01,9.799811580236028608e-01
4.000000000000000222e-01,9.215287909051579351e-01
6.000000000000000888e-01,8.293328651010954955e-01
8.000000000000000444e-01,7.107846854019693739e-01
1.000000000000000000e+00,5.753826875371577110e-01
1.200000000000000178e+00,4.339895315606656090e-01
1.400000000000000133e+00,2.979270083315747053e-01
1.600000000000000089e+00,1.780233513732052408e-01
1.800000000000000044e+00,8.381551749000243356e-02
2.000000000000000000e+00,2.287019041932908392e-02
