x,y,z,l
0.1,2,36537540933272572955092120817907075491398313574400,320808
0.2,3,74597823565412764369357006335866692366746558134280838361846592893785158451200,2162727
0.30000000000000004,4,895173882784953172432284076030400308400958697611370060342159114725421901414400,7686464
0.4,5,563289838046391734071354153405767249277548699799575250898914958720424386796453888000,20012625
0.5,5,16822585437994754054482287426854076940837799140569363306900927184164106707984149643264000,25012625
0.6,5,93458807988859744747123819038078205226876661892052018371671817689800592822134164684800000,30012625
0.7000000000000001,6,1557646799814329079118730317301303420447944364867533639527863628163343213702236078080000000,60501816
0.8,6,29342967842277792078064912721634917467808558426233619210097016288160973324288000000000000000,69141816
0.9,6,362258862250343112074875465699196511948253807731279249507370571458777448448000000000000000000,77781816
1.0,7,4943879462527195711746520912893050880000000000000000000000000000000000000000000000000000000000000000000,137234643
