x,y,z,l
1.0,10,36373183961943873945600,8021000
2.0,17,96484024327124444774400000,78711173
3.0,25,26594331415950152171520000000,375328125
4.0,38,1981632381561352686896414720000,1757056312
5.0,54,42741640828012573884371372605440,6301866744
6.0,78,535725216588390151220554440376320,22788461592
7.0,104,4684572387213516239459221241856000,63016006144
8.0,119,15868387494698385008193396843479040,107885564339
9.0,140,44821941709077067371360603340800000,197625624000
10.0,158,91820855332708711453875461160960000,315627790552
