x,y,errorbars
0.1,1.0,0.0
0.19,0.9992606723307704,0.00030581928005141856
0.28,0.9969504581317746,0.0007009317422236372
0.37,0.9930988188939717,0.0010065302003440446
0.45999999999999996,0.9873328898595914,0.0018964443827965208
0.5499999999999999,0.9802139700631345,0.002706531251854708
0.64,0.9709588235145639,0.003609909095303271
0.73,0.9600512248610262,0.004562938573848773
0.82,0.9472536025288539,0.005729774665512261
0.9099999999999999,0.9326863194552006,0.006330471056793483
1.0,0.9158765875997538,0.007179898022368077
