snap_time,measurement
0.000000000000000000e+00,9.999999999999998890e-01
2.000000000000000111e-01,9.959794484847073193e-01
4.000000000000000222e-01,9.757860571608766298e-01
6.000000000000000888e-01,9.358928080065336275e-01
8.000000000000000444e-01,8.951982980409064483e-01
1.000000000000000000e+00,8.710082160947849594e-01
1.200000000000000178e+00,8.616726106652892181e-01
1.400000000000000133e+00,8.557359785086122717e-01
1.600000000000000089e+00,8.420257053132679248e-01
1.800000000000000044e+00,8.217376843440917789e-01
2.000000000000000000e+00,8.100170702973528147e-01
