snap_time,measurement
0.000000000000000000e+00,9.999999999999998890e-01
2.000000000000000111e-01,9.970051624400890766e-01
4.000000000000000222e-01,9.880616916406390615e-01
6.000000000000000888e-01,9.732888993609563055e-01
8.000000000000000444e-01,9.528683644569641009e-01
1.000000000000000000e+00,9.270054444690516426e-01
1.200000000000000178e+00,8.959575217828166238e-01
1.400000000000000133e+00,8.601089674241181315e-01
1.600000000000000089e+00,8.199555472304812520e-01
1.800000000000000044e+00,7.760134711879917990e-01
2.000000000000000000e+00,7.287992311278688184e-01
