x,y,z,l
1.0,12,401815665377280000,1064448
2.0,27,98469677531293286400,23934528
3.0,40,1091213063765360640000,116224000
4.0,62,5119862348755689799680,575800448
5.0,88,15034973214625738260480,2055319552
6.0,109,25447859910434629877760,4682824864
7.0,120,30350658608775246643200,7285248000
8.0,127,33219271427425157775360,9865012528
9.0,128,34587645138205409280000,11358175232
10.0,128,35141047460416695828480,12616466432
