x,y,errorbars
0.01,0.9999823521445969,1.2462334426714737e-05
0.02,0.9999404682716244,3.853673143085985e-05
0.03,0.999883295769757,7.480832254579051e-05
0.04,0.9998213998026697,0.00010154862914553033
0.05,0.9997694092687283,0.00013137055569065423
0.060000000000000005,0.9997068046030165,0.00016838289746542453
0.06999999999999999,0.9996175542272964,0.00018342432429215228
0.08,0.9994725865320244,0.00020040430932957387
0.09,0.9994031383875803,0.00019061487625616694
0.09999999999999999,0.9991889694917973,0.0002756413403028782
0.11,0.998968445971683,0.0003799715563221775
0.12,0.9987362077774836,0.00043492310016678896
0.13,0.9985236557014963,0.0005509986459484621
0.14,0.9983379057188649,0.0005896892774385087
0.15000000000000002,0.9981401671773146,0.000583784465616856
0.16,0.9978140148028027,0.0007250141327975135
0.17,0.9975556983998498,0.0007701042151951247
0.18000000000000002,0.9973190885544628,0.0007582669561732625
0.19,0.9969809122901874,0.0007184429908028942
0.2,0.9966377460376258,0.0007581277827389121
0.21000000000000002,0.9963758510972548,0.0008691871909112299
0.22,0.9961310599555283,0.0008980674857798906
0.23,0.9957481707335585,0.0009789792907457554
0.24000000000000002,0.995329074391235,0.0012342909125764537
0.25,0.9949465878317009,0.0012681583526691072
0.26,0.9946094684138214,0.0013941306383904917
0.27,0.9941975010159112,0.0016529180072112019
0.28,0.9936557942282448,0.0019664407758809435
0.29000000000000004,0.9930171861408279,0.002032869897732226
0.3,0.9925619854081503,0.0019593199434579773
0.31,0.9921502054428812,0.0021568941825053875
0.32,0.991915167424936,0.0021456193922068136
0.33,0.9912752540365926,0.00209054677431215
0.34,0.9907291790298208,0.0023032167252680005
0.35000000000000003,0.9901731118466188,0.00251792376314492
0.36000000000000004,0.9896587484778934,0.0025560599579872363
0.37,0.9891382580435459,0.0026540721272730276
0.38,0.9886126602735024,0.0027746085524072766
0.39,0.9881828174264594,0.0025186663722539214
0.4,0.9876327632201038,0.002769125180062975
0.41000000000000003,0.9870383289173636,0.002930395825982553
0.42000000000000004,0.9863990113083112,0.0030518033517646474
0.43,0.9855901691855667,0.003083317749842381
0.44,0.9848381792324066,0.0031721121932175656
0.45,0.9843091159403018,0.0032028944340604776
0.46,0.9836403210463752,0.003359828321126881
0.47000000000000003,0.983055836320562,0.003749401662521119
0.48000000000000004,0.9818933176448905,0.004077204555482669
0.49,0.9811280284057166,0.004064687397118029
0.5,0.9801804798268817,0.004458391467539168
0.51,0.9796231501607974,0.004601001554793638
0.52,0.978817169437382,0.004879391497518678
0.53,0.9779965876235627,0.005517188118938096
0.54,0.9774846796565069,0.005363440285780595
0.55,0.9766736254029368,0.005354172060495085
0.56,0.9755788940064022,0.005450470225449658
0.5700000000000001,0.9742899240664092,0.005475829268305749
0.5800000000000001,0.9735600847527783,0.005595267373823964
0.59,0.9725691399675792,0.006273290317191305
0.6,0.9713014491413267,0.006365590603557873
0.61,0.9704109884653513,0.006770005310094298
0.62,0.9696345777134454,0.006682403163612863
0.63,0.9690525779954416,0.006658367208204653
0.64,0.9680634068804073,0.006553614025330077
0.65,0.9671007904721021,0.007132933740795227
0.66,0.9660963253228753,0.006949333137872758
0.67,0.965182815638347,0.0070975816376986816
0.68,0.9640961056768826,0.007523481782956821
0.6900000000000001,0.9631945026580535,0.007771631998890671
0.7000000000000001,0.9618638125601986,0.008145032549679885
0.7100000000000001,0.9607643134279314,0.008097062291848327
0.72,0.9597077862437959,0.007962522611452317
0.73,0.9590628842489044,0.008218909607279248
0.74,0.9579897948005829,0.00807839106312691
0.75,0.9569077626897682,0.007961660483343682
0.76,0.9560328275323521,0.008308352694399836
0.77,0.9549112432326137,0.008493359260877383
0.78,0.9537869417886196,0.008291173512328848
0.79,0.9527506978015406,0.00861274104833862
0.8,0.9515308638995308,0.008738626603498983
0.81,0.9504927035376067,0.00868051107896263
0.8200000000000001,0.9491409904227617,0.008879386346641652
0.8300000000000001,0.9471779286902609,0.00874011739102477
0.8400000000000001,0.9456475639083406,0.009236820425600464
0.85,0.9445799629631061,0.009198311116638647
0.86,0.9431248241301432,0.009773547679660445
0.87,0.9415818268157509,0.01001304675444913
0.88,0.9399062951010958,0.009856081166565278
0.89,0.9386253361515839,0.010564935049306067
0.9,0.9370142923473791,0.011249230098488558
0.91,0.9349999788304342,0.011455599660009618
0.92,0.9337992996470323,0.011799887070477952
0.93,0.9320840413436973,0.011984934442242023
0.9400000000000001,0.9298292822403464,0.012757832226817156
0.9500000000000001,0.9282903770360802,0.013376222244536587
0.9600000000000001,0.9266182385607431,0.014001519781238406
0.97,0.9248539531666186,0.013697076321610614
0.98,0.9227368418542634,0.014018905445614094
0.99,0.9210185214590982,0.01347958511606267
1.0,0.9202213703959596,0.013388076839275401
