x,y,z
1.0,11.0,32296140800
1.1,11.0,32296140800
1.2,11.0,32296140800
1.3,11.0,32296140800
1.4,11.0,32296140800
1.5,11.0,33372678826.66666666666666667
1.6,11.0,34718351360
1.7000000000000002,11.666666666666666,41633710080
1.8,12.0,55364812800
1.9,12.0,59055800320
2.0,12.0,59055800320
2.1,12.0,59055800320
2.2,12.333333333333334,62592996693.33333333333333333
2.3,13.0,65976401920
2.4000000000000004,13.0,65976401920
2.5,13.0,78517370880
2.6,13.333333333333334,87241523200
2.7,14.0,99237232640
2.8,14.0,104326321493.3333333333333333
2.9000000000000004,14.333333333333334,109415410346.6666666666666667
