x,y,z
0.0,4.333333333333333,302776320
0.1,4.333333333333333,687691093.3333333333333333333
0.2,4.333333333333333,657107626.6666666666666666667
0.30000000000000004,5.0,699050666.6666666666666666667
0.4,5.0,961194666.6666666666666666667
0.5,5.333333333333333,1818624000
0.6000000000000001,5.0,1911466666.666666666666666667
0.7000000000000001,6.0,2457600000
0.8,6.0,2621440000
0.9,7.0,6654525440
1.0,7.666666666666667,10918297600
1.1,8.0,13602652160
1.2000000000000002,9.333333333333334,20258488320
1.3,9.666666666666666,23561502720
1.4000000000000001,10.333333333333334,30718033920
1.5,11.333333333333334,35232153600
1.6,11.333333333333334,41806725120
1.7000000000000002,12.0,55364812800
1.8,12.0,60901294080
1.9000000000000001,12.0,60901294080
2.0,12.0,60901294080
2.1,12.0,60901294080
2.2,12.0,60901294080
2.3000000000000003,12.333333333333334,62592996693.33333333333333333
2.4000000000000004,13.0,69974971733.33333333333333333
2.5,13.333333333333334,82879447040
2.6,13.666666666666666,91771371520
2.7,14.333333333333334,104144568320
2.8000000000000003,14.333333333333334,104144568320
2.9000000000000004,15.0,117440512000
