snap_time,measurement
0.000000000000000000e+00,9.999999999999998890e-01
5.000000000000000000e-01,9.816261042047513818e-01
1.000000000000000000e+00,9.284723585463363627e-01
1.500000000000000000e+00,8.441889362892307513e-01
2.000000000000000000e+00,7.341230138949716988e-01
2.500000000000000000e+00,6.064516715092986843e-01
3.000000000000000000e+00,4.717068499408364479e-01
3.500000000000000000e+00,3.397646965514818373e-01
4.000000000000000000e+00,2.192535523121114660e-01
4.500000000000000000e+00,1.183222326921408163e-01
5.000000000000000000e+00,4.513635357521311731e-02
