x,y,errorbars
0.1,1.0,0.0
0.19,0.9983793299301593,0.0014454120708881297
0.28,0.99506651742642,0.0028941916035518677
0.37,0.991428088867768,0.004511720563105392
0.45999999999999996,0.9851139609756695,0.00868984044394506
0.5499999999999999,0.9750464355847356,0.015599360733512136
0.64,0.966572374833375,0.017135861426479486
0.73,0.9523002247924588,0.022311403744467363
0.82,0.9409235963128719,0.025687311705408444
0.9099999999999999,0.9287252787139366,0.02388908717675157
1.0,0.9087609334569047,0.03038257622123303
