snap_time,measurement
0.000000000000000000e+00,9.999999999999998890e-01
2.000000000000000111e-01,9.998048927039862033e-01
4.000000000000000222e-01,9.996488726143982761e-01
6.000000000000000888e-01,9.992301268252092861e-01
8.000000000000000444e-01,9.990572337929430891e-01
1.000000000000000000e+00,9.993142623475569364e-01
1.200000000000000178e+00,9.992676471021141316e-01
1.400000000000000133e+00,9.993880792322547002e-01
1.600000000000000089e+00,9.987281386244803993e-01
1.800000000000000044e+00,9.978371544503468193e-01
2.000000000000000000e+00,9.971070762607676663e-01
