Time,Cost
0.0,[3.8 4.  4.  4.  4.  4.  4.  4.  4.  4. ]
1.0,"[Decimal('972.8') Decimal('1024') Decimal('1024') Decimal('1024')
 Decimal('1024') Decimal('1024') Decimal('1024') Decimal('1024')
 Decimal('1024') Decimal('1024')]"
