x,y,z
3.0,31.4,2.450195915083074671820668928E+29
3.1,32.3,2.905901609228257955100198175E+29
3.2,32.8,3.21391309536645963854420902E+29
3.3,34.4,5.110981258593736723462619136E+29
3.4,35.3,7.371934916911110771438727987E+29
3.5,36.8,1.110732262847371981864902328E+30
3.6,37.4,1.451663827641806695535455764E+30
3.7,38.4,1.986622393610287387374501494E+30
3.8,39.6,2.75538627672677942997085166E+30
3.9,41.0,3.807201514760016715929247284E+30
