x,y,z
0.1,2,36537540933272572955092120817907075491398313574400
0.2,3,74597823565412764369357006335866692366746558134280838361846592893785158451200
0.3,4,895173882784953172432284076030400308400958697611370060342159114725421901414400
0.4,5,563289838046391734071354153405767249277548699799575250898914958720424386796453888000
0.5,5,16822585437994754054482287426854076940837799140569363306900927184164106707984149643264000
0.6,5,93458807988859744747123819038078205226876661892052018371671817689800592822134164684800000
0.7,6,1557646799814329079118730317301303420447944364867533639527863628163343213702236078080000000
0.7999999999999999,6,29342967842277792078064912721634917467808558426233619210097016288160973324288000000000000000
0.8999999999999999,6,362258862250343112074875465699196511948253807731279249507370571458777448448000000000000000000
0.9999999999999999,7,4943879462527195711746520912893050880000000000000000000000000000000000000000000000000000000000000000000
1.0999999999999999,7,1045494118582397554221646994934571777743336927949857226752000000000000000000000000000000000000000000000000
1.2,8,114602461450895468673905028378870272462459746504937570304000000000000000000000000000000000000000000000000
1.3,8,32763361918984454415459494021502072104394301921239342507129569280000000000000000000000000000000000000000000
1.4,8,2054918059558704980937619465028609962387610616500131562047166585241600000000000000000000000000000000000000
1.5,8,449175172105422506116451879204069635767078029903442069445816439930485021385687040000000000000000000000000000
1.5999999999999999,8,6469338485344007887885465519065984012363872264252120398390160449265164117003788707954688000000000000000000000
1.7,8,40900296507918238412600180853466506539350576496120413531812711028493438216582544878502137561088000000000000000
1.8,8,430964788292074161424031601645742440744875450516560952568169263598794218750601612082981883395681812480000000000
1.9,9,13298342038726859838227260850782909600127585330225309393532080133905650178589992601417726687638181642240000000000
2.0,10,72950904898158773969703830952866246949271325240093125815947411020282423836836530842062957829329453580288000000000
2.0999999999999996,9,573840423934158674145225854891791778471744152889972593523962734917294281550007410782888649350489463114956800000000
2.1999999999999997,9,2398418751463585642141678675139570535326800051262579329667501390021670793090643218945624395652658000937615360000000
2.3,9,1712764672473750791629012657152731676982763008036330120484187931421189885547505867700924262299547117730796666880000
2.4,9,139627905088733582902482688123349486563566779701823354123757266812665158828210807598084692654228176367089434073497600
2.5,10,12877272231754418997514629713133585743584008914951531504040622940474383012776478516023484511463223010673048718147584000
2.6,10,828224857582927144502663847432986493308277121327742132216766679823166287866735173717180697607895088806103847817707520000
2.6999999999999997,10,4225637028484322165829917588943808639327944496570112919473299386852889223809873335291738253101505555133182897029120000000
2.8,12,784109525230510383589329082057710405599697967707205919207833003170532944158729766409420756583822617539735925555200000000000
2.9,13,9925930112835322951992601419097252111454554316971066112258411739684411763229358104248320000000000000000000000000000000000000000
3.0,14,8176029603261877678138041327988604715484177951262873292234100789075640497667727963671603547521687425732178357362121342161100419891200000
3.0999999999999996,16,682338525403256515867230414542233360905887658876934535657629372072963370165567818762093883293178926573883011630209072985780658582323200000
3.1999999999999997,17,16812077152000385659537662137703468932123257957544318195927000676133581750535290651907152654590215964968007403294332968424743895040000000000
3.3,18,157148471649593577130190473760075636107451900662961060450480593996792928729742254420269609565467062969773235969885493407429157533096345600000000
3.4,19,943565243001721237544820101892540752855329248144731407893710777661997466604096480471272237939737862970860303625673090658821016100274176000000000
3.5,19,351766386599974295305235219623261828109979865119409036274422840949471982238530859228703568933898887802764189504243970867200000000000000000000000000
3.5999999999999996,20,434544327876617523915090937683470611096215823861125777281942089447744212560876168940312673446074464371604098565904793600000000000000000000000000000
3.6999999999999997,21,5139894722962359361514098589030725014372971195974896782577847374284998835366751543110771563575205198001010106171392000000000000000000000000000000000
3.8,22,48151227526093570256099935231529809534335231815651598792440472917630588896788907385854061221545994422520513590774988800000000000000000000000000000000
3.9,22,195509494459410358408659105525176749625589443334755143837101055805507191076583374469785430733599305307270465526104588288000000000000000000000000000000
4.0,22,4391572150654235955508135348319290556884702734589509623805762729617386397935774679112231972361225527043498798339723373353340239872000000000000000000000
